"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-375",2394.01942996955,1.09187239876681,0.121729011148558,8.96969743255607,2.97330058793711e-19,9.27669783436378e-17
"hsa-miR-194-5p",4663.90317790243,-1.47558221900687,0.169746792936733,-8.69284298971611,3.53480720696105e-18,5.51429924285924e-16
"hsa-miR-100-5p",47185.4984017032,7.58708460467368,0.96874503231781,7.83186943061881,4.80668582151716e-15,4.99895325437784e-13
"hsa-miR-205-5p",262.9365659342,-1.43108314043296,0.19212335717775,-7.44877229637904,9.42128140267911e-14,7.3485994940897e-12
"hsa-miR-152",1124.86352488361,-1.20906756560937,0.193283896902324,-6.25539729375578,3.96505213902596e-10,2.4741925347522e-08
"hsa-miR-192-5p",17704.1522572944,-1.16073013296877,0.198482559707771,-5.84802077662505,4.97456431527121e-09,2.58677344394103e-07
"hsa-miR-302a-5p",71.7742691777212,-1.75547862902527,0.33523151523475,-5.23661573941214,1.63547698251888e-07,5.66965353939877e-06
"hsa-miR-302b-3p",89.6425944711196,-1.3825626325176,0.27590116077641,-5.01107943376152,5.41255653100541e-07,1.68871763767369e-05
"hsa-miR-125b-5p",2278.3426472953,4.39842626261432,0.928743172402373,4.73589081816553,2.18094983590371e-06,6.18596680729051e-05
"hsa-miR-34c-5p",313.903355286415,-1.50640069264571,0.331198947476935,-4.54832572422536,5.407439639043e-06,0.000140593430615118
"hsa-miR-125b-1-3p",135.855993501354,7.55984106799149,1.84680823185953,4.09346294735732,4.24978014456621e-05,0.000883954270069772
"hsa-miR-99a-5p",806.414124376272,-2.65298546310346,0.730313201935557,-3.63266808825614,0.000280505734485538,0.0036034289460531
