"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-375",2394.01942996955,1.09187239876681,0.121729011148558,8.96969743255607,2.97330058793711e-19,9.27669783436378e-17
"hsa-miR-194-5p",4663.90317790243,-1.47558221900687,0.169746792936733,-8.69284298971611,3.53480720696105e-18,5.51429924285924e-16
"hsa-miR-100-5p",47185.4984017032,7.58708460467368,0.96874503231781,7.83186943061881,4.80668582151716e-15,4.99895325437784e-13
"hsa-miR-205-5p",262.9365659342,-1.43108314043296,0.19212335717775,-7.44877229637904,9.42128140267911e-14,7.3485994940897e-12
"hsa-miR-152",1124.86352488361,-1.20906756560937,0.193283896902324,-6.25539729375578,3.96505213902596e-10,2.4741925347522e-08
"hsa-miR-192-5p",17704.1522572944,-1.16073013296877,0.198482559707771,-5.84802077662505,4.97456431527121e-09,2.58677344394103e-07
"hsa-miR-182-5p",10829.0509433951,0.710358675492335,0.12396194704072,5.73045755129187,1.00160091063817e-08,4.46427834455872e-07
"hsa-miR-183-5p",10430.0212017467,0.813957063585852,0.149080195136188,5.45986046531724,4.76508935969007e-08,1.85838485027913e-06
"hsa-miR-302a-5p",71.7742691777212,-1.75547862902527,0.33523151523475,-5.23661573941214,1.63547698251888e-07,5.66965353939877e-06
"hsa-miR-302b-3p",89.6425944711196,-1.3825626325176,0.27590116077641,-5.01107943376152,5.41255653100541e-07,1.68871763767369e-05
"hsa-miR-125b-5p",2278.3426472953,4.39842626261432,0.928743172402373,4.73589081816553,2.18094983590371e-06,6.18596680729051e-05
"hsa-miR-34c-5p",313.903355286415,-1.50640069264571,0.331198947476935,-4.54832572422536,5.407439639043e-06,0.000140593430615118
"hsa-miR-34a-5p",315.656389020798,-0.982726848920199,0.223704644532578,-4.39296578295711,1.11814731249789e-05,0.000268355354999494
"hsa-miR-221-3p",30201.3979589394,0.762175837628848,0.174826886454315,4.35960310846132,1.30298549199553e-05,0.000290379623930433
"hsa-miR-125b-1-3p",135.855993501354,7.55984106799149,1.84680823185953,4.09346294735732,4.24978014456621e-05,0.000883954270069772
"hsa-miR-221-5p",1699.64658144937,0.648233485749701,0.159415747668495,4.06630772198054,4.7763858481057e-05,0.000931395240380612
"hsa-miR-210",4328.54152874266,0.537236131862931,0.134738764436443,3.98724252897797,6.68456840944451e-05,0.000993135877974612
"hsa-miR-139-5p",158.826460015324,0.806463062837556,0.200490152240414,4.02245723206645,5.7594114501183e-05,0.000993135877974612
"hsa-miR-203b-5p",42312.1402522713,0.670840596442555,0.168137188146038,3.98984069996394,6.61176855680698e-05,0.000993135877974612
"hsa-miR-455-5p",715.329830686406,0.872143220951613,0.217370812266917,4.01223702417176,6.01460644836027e-05,0.000993135877974612
"hsa-miR-203a",42879.8089037397,0.674315396613361,0.168904655190616,3.99228426151055,6.5439860202304e-05,0.000993135877974612
"hsa-miR-96-5p",3018.9425507092,0.769258632878022,0.201875991478039,3.81055036433941,0.000138657759364841,0.00196641913281047
"hsa-miR-584-5p",786.673904944646,-0.527658857950179,0.139299239569714,-3.78795217820342,0.000151894075754654,0.00206047615806314
"hsa-miR-99a-5p",806.414124376272,-2.65298546310346,0.730313201935557,-3.63266808825614,0.000280505734485538,0.0036034289460531
"hsa-miR-193b-3p",286.086419334751,-0.588453412615218,0.162322955442002,-3.62520144493964,0.000288736293754255,0.0036034289460531
"hsa-miR-27b-5p",359.803741281431,-0.588385504452986,0.163541811129972,-3.59776805935808,0.0003209596386691,0.0038515156640292
"hsa-miR-378c",200.01743916679,-0.631682148935461,0.176530064504174,-3.57832616619547,0.000345801745352037,0.00399593127962354
"hsa-miR-197-3p",361.603429659207,0.562187557372138,0.160673470358988,3.49894451222134,0.00046710377651677,0.00520487065261544
"hsa-miR-3529-3p",32187.8440640816,-0.542653681244631,0.156138335072569,-3.4754673219259,0.000509964119298829,0.00548651052487016
"hsa-miR-1301",156.714819789414,0.748866300499347,0.216331965662283,3.46165347412599,0.000536867919966135,0.00555574891652476
"hsa-miR-7-5p",97094.2953299672,-0.539958967108781,0.156321436431869,-3.45415817199272,0.000552013514141883,0.00555574891652476
"hsa-miR-3615",1979.43257494504,-0.465551694195347,0.137805274011869,-3.37833002062933,0.000729275022429107,0.0071104314686838
"hsa-miR-499a-5p",178.120932419359,0.620282603275305,0.19104262265709,3.24682834986345,0.0011669874881818,0.0110333362519007
"hsa-miR-22-3p",19976.5261555202,0.451462587364867,0.140034773158995,3.22393200760414,0.00126443417626014,0.0113493466335536
"hsa-miR-101-3p",19563.2122990798,0.439979027207975,0.136556278637565,3.22196116939981,0.00127316388517428,0.0113493466335536
"hsa-miR-499b-3p",174.308010853154,0.61435604733123,0.191703265930111,3.20472394849654,0.00135192073251472,0.0117166463484609
"hsa-miR-542-3p",858.332191244301,0.475517504443248,0.15163295592832,3.13597727836971,0.00171282473386785,0.0144432788369397
"hsa-miR-222-3p",17896.9152276453,0.465070823632745,0.158928360321734,2.92629221550676,0.00343028565689905,0.0281644506566449
"hsa-miR-146b-5p",3141.05386192307,0.549949184194926,0.188646052870618,2.91524352524941,0.00355411095015112,0.0284328876012089
"hsa-miR-378a-3p",3792.49603379785,-0.394187084971746,0.136143464825042,-2.8953801453365,0.00378699615454895,0.0293229516935238
"hsa-miR-32-3p",239.579298187182,-0.531352781929783,0.184347634284079,-2.88234120276787,0.00394732042028205,0.0293229516935238
"hsa-miR-26a-5p",80784.7202772758,0.354987578629676,0.122977965913479,2.88659497652961,0.00389435189375337,0.0293229516935238
"hsa-miR-148b-5p",646.303884120073,0.472630536251497,0.164519482071218,2.87279372814281,0.00406859667024316,0.0295209804910666
"hsa-miR-501-5p",153.896756757986,-0.617142425858805,0.215500056980262,-2.86376920037349,0.0041863291993958,0.0296848797775338
"hsa-miR-18a-5p",1387.65752356279,-0.390485736944852,0.138277376284013,-2.8239307646597,0.00474386311598812,0.032890784270851
"hsa-miR-132-3p",417.617545746261,0.510390926469437,0.181694798504814,2.80905634431749,0.00496869497855568,0.0329836773044547
"hsa-miR-212-5p",123.649553545875,0.694676941767017,0.246873133697887,2.81390255537945,0.00489440622985097,0.0329836773044547
"hsa-miR-10a-3p",8657.7175357313,0.40497452418116,0.147384721981577,2.74773747737422,0.0060008034951331,0.0390052227183651
"hsa-miR-148b-3p",14157.9357541723,0.317311766833922,0.115924463115555,2.73722869449585,0.00619592033672026,0.0394515743889127
"hsa-miR-130b-3p",334.306541341984,-0.450782479285601,0.165436945939641,-2.72479932898464,0.0064340579210385,0.0401485214272803
"hsa-miR-629-5p",232.079211061148,0.48307664021551,0.178736503868776,2.70273072237204,0.00687724361175241,0.04207254915425
"hsa-miR-450a-5p",1788.76865533637,0.31134657007946,0.117599353920559,2.64751939274922,0.00810847089418384,0.0486508253651031
"hsa-miR-378a-5p",141.206123728263,-0.564625090292943,0.217058522089091,-2.60125741601242,0.00928827294710521,0.0546781350848457
"hsa-miR-1",160.770076925452,-4.28100030556961,1.65809707345669,-2.58187555728861,0.00982650106380259,0.0567753394797483
"hsa-miR-22-5p",203.777371424654,0.689245615039783,0.269070249877348,2.56158239476109,0.0104196522354814,0.059107845408549
"hsa-miR-143-3p",13014.6034769595,-4.24583804470608,1.6854468381409,-2.51911715553685,0.0117649504057265,0.0632873194239083
"hsa-let-7a-5p",66853.5166769217,0.280532531571262,0.111238337310177,2.52190511252452,0.011672118857933,0.0632873194239083
"hsa-miR-21-5p",1634280.4307257,0.498064065058239,0.196776541351908,2.53111504875736,0.0113700547463323,0.0632873194239083
"hsa-miR-935",179.297877547011,0.600371395803582,0.240047459883987,2.50105290051282,0.0123824680822674,0.0643888340277907
"hsa-miR-10a-5p",789795.46799679,0.429835196578386,0.171497183640962,2.50636883622689,0.0121978304570505,0.0643888340277907
"hsa-miR-92a-3p",48057.3787455058,-0.324679866752454,0.130648914797083,-2.48513251913902,0.012950321609384,0.0662377105266855
